Station,sample_datetime,value,date
Morwell East,6/12/2019 0:00,3.299999952,2019/12/06
Morwell East,7/12/2019 0:00,9,2019/12/07
Morwell East,8/12/2019 0:00,2.5,2019/12/08
Morwell East,9/12/2019 0:00,0.699999988,2019/12/09
Morwell East,10/12/2019 0:00,1,2019/12/10
Morwell East,11/12/2019 0:00,6.199999809,2019/12/11
Morwell East,12/12/2019 0:00,9.600000381,2019/12/12
Morwell East,13/12/2019 0:00,4.599999905,2019/12/13
Morwell East,14/12/2019 0:00,-2.400000095,2019/12/14
Morwell East,15/12/2019 0:00,4.699999809,2019/12/15
Morwell East,16/12/2019 0:00,1.600000024,2019/12/16
Morwell East,17/12/2019 0:00,5.5,2019/12/17
Morwell East,18/12/2019 0:00,11.69999981,2019/12/18
Morwell East,19/12/2019 0:00,13,2019/12/19
Morwell East,20/12/2019 0:00,4,2019/12/20
Morwell East,21/12/2019 0:00,17.89999962,2019/12/21
Morwell East,22/12/2019 0:00,7.199999809,2019/12/22
Morwell East,23/12/2019 0:00,10,2019/12/23
Morwell East,24/12/2019 0:00,13.39999962,2019/12/24
Morwell East,25/12/2019 0:00,1.299999952,2019/12/25
Morwell East,26/12/2019 0:00,8.800000191,2019/12/26
Morwell East,27/12/2019 0:00,4.199999809,2019/12/27
Morwell East,28/12/2019 0:00,1.100000024,2019/12/28
Morwell East,29/12/2019 0:00,7.800000191,2019/12/29
Morwell East,30/12/2019 0:00,8.300000191,2019/12/30
Morwell East,31/12/2019 0:00,6.699999809,2019/12/31
Morwell South,1/12/2019 0:00,2,2019/12/01
Morwell South,2/12/2019 0:00,1.700000048,2019/12/02
Morwell South,3/12/2019 0:00,5.199999809,2019/12/03
Morwell South,4/12/2019 0:00,4.400000095,2019/12/04
Morwell South,5/12/2019 0:00,6.199999809,2019/12/05
Morwell South,6/12/2019 0:00,4.400000095,2019/12/06
Morwell South,7/12/2019 0:00,7.300000191,2019/12/07
Morwell South,8/12/2019 0:00,7.5,2019/12/08
Morwell South,9/12/2019 0:00,4.800000191,2019/12/09
Morwell South,10/12/2019 0:00,7.099999905,2019/12/10
Morwell South,11/12/2019 0:00,5.900000095,2019/12/11
Morwell South,12/12/2019 0:00,6.099999905,2019/12/12
Morwell South,13/12/2019 0:00,4.300000191,2019/12/13
Morwell South,14/12/2019 0:00,2.799999952,2019/12/14
Morwell South,15/12/2019 0:00,-0.800000012,2019/12/15
Morwell South,16/12/2019 0:00,5.099999905,2019/12/16
Morwell South,17/12/2019 0:00,3.700000048,2019/12/17
Morwell South,18/12/2019 0:00,13.10000038,2019/12/18
Morwell South,19/12/2019 0:00,11.5,2019/12/19
Morwell South,20/12/2019 0:00,5.099999905,2019/12/20
Morwell South,21/12/2019 0:00,17.60000038,2019/12/21
Morwell South,22/12/2019 0:00,7.300000191,2019/12/22
Morwell South,23/12/2019 0:00,11.10000038,2019/12/23
Morwell South,24/12/2019 0:00,7,2019/12/24
Morwell South,25/12/2019 0:00,5.5,2019/12/25
Morwell South,26/12/2019 0:00,12.39999962,2019/12/26
Morwell South,27/12/2019 0:00,3,2019/12/27
Morwell South,28/12/2019 0:00,10,2019/12/28
Morwell South,29/12/2019 0:00,11.39999962,2019/12/29
Morwell South,30/12/2019 0:00,14.80000019,2019/12/30
Morwell South,31/12/2019 0:00,19,2019/12/31
Traralgon,3/12/2019 0:00,7.400000095,2019/12/03
Traralgon,4/12/2019 0:00,9.899999619,2019/12/04
Traralgon,5/12/2019 0:00,5.699999809,2019/12/05
Traralgon,6/12/2019 0:00,4.5,2019/12/06
Traralgon,7/12/2019 0:00,9.199999809,2019/12/07
